Accreditation code,Power station name,State,Installed capacity,Postcode,Fuel source(s),Accreditation start date,Suspension status,Baseline (MWh),Comment
BEBMNS02,Bayswater Power Station,NSW,0,2333,Biomass,1/04/2001,Unsuspended,0,The capacity for this power station is not counted towards accredited capacity in the RET. 
BEBMNS01,Liddell Power Station,NSW,0,2333,Biomass,1/04/2001,Unsuspended,0,The capacity for this power station is not counted towards accredited capacity in the RET. 
BEBMQL27,Gladstone Power Station,QLD,0,4680,Biomass,6/05/2005,Unsuspended,0,The capacity for this power station is not counted towards accredited capacity in the RET. 
BEBMVC01,Hazelwood,VIC,0,3840,Biomass,4/05/2005,Suspended,0,The capacity for this power station is not counted towards accredited capacity in the RET. 
BEBMNS08,Mt Piper Power Station,NSW,0,2847,Biomass,16/05/2002,Unsuspended,0,The capacity for this power station is not counted towards accredited capacity in the RET. 
BEBMNS04,Vales Point,NSW,0,2259,Biomass,26/10/2001,Unsuspended,0,The capacity for this power station is not counted towards accredited capacity in the RET. 
BEBMNS03,Wallerawang Power Station,NSW,0,2845,Biomass,14/06/2001,Suspended,0,The capacity for this power station is not counted towards accredited capacity in the RET. 
BEBMWA02,Muja,WA,0,6225,Biomass,2/04/2002,Unsuspended,0,The capacity for this power station is not counted towards accredited capacity in the RET. 
SRPVWA02,Rooftop PV,WA,0,6149,Solar,1/04/2001,Suspended,0,n/a
SRPVNS04,Rooftop PV,NSW,0.0014,2766,Solar,20/04/2001,Unsuspended,0,n/a
SRPVQL01,Solaris,QLD,0.0014,4160,Solar,18/06/2001,Suspended,0,n/a
SRPVSA02,Lavina June,SA,0.0014,5007,Solar,25/10/2001,Suspended,0,n/a
SRPVVC02,Rufusredtail,VIC,0.0014,3135,Solar,26/04/2002,Suspended,0,n/a
SRPVWA01,Rooftop PV,WA,0.0014,6011,Solar,27/04/2001,Unsuspended,0,n/a
SRPVNS16,Glenorie Solar - NSW,NSW,0.0015,2157,Solar,9/08/2007,Suspended,0,n/a
SRPVQL02,Go 100% Renewable Generation,QLD,0.0015,4075,Solar,1/04/2001,Suspended,0,n/a
SRPVQL03,Rooftop PV,QLD,0.0016,4102,Solar,4/04/2001,Suspended,0,n/a
SRPVSA04,Mount Barker Springs PV - SA,SA,0.0018,5251,Solar,19/01/2007,Unsuspended,0,n/a
SRPVNS15,Myalben Photovoltaic,NSW,0.0023,2360,Solar,1/01/2005,Unsuspended,0,n/a
SRPVAC01,Rooftop PV,ACT,0.0029,2607,Solar,1/04/2001,Suspended,0,n/a
SRPVWA03,Noranda Primary School,WA,0.0029,6062,Solar,24/09/2001,Suspended,0,n/a
HYMCNS04,Yellow Rock,NSW,0.004,2527,Hydro,9/10/2002,Suspended,0,n/a
SRPVVC04,Craig Walters PV - VIC,VIC,0.0044,3072,Solar,28/06/2006,Unsuspended,0,n/a
SRPVQL04,Caboolture Region Environment Education Centre,QLD,0.0049,4505,Solar,1/04/2001,Suspended,0,n/a
SRPVQL07,Ray Ede Wind and Solar,QLD,0.0064,4061,Wind,28/04/2004,Suspended,0,n/a
SRPVNS09,Foreshore Power Station,NSW,0.0065,2300,Solar,20/08/2001,Suspended,7,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
SRPVNS02,Homebush Photovoltaic Power Station,NSW,0.0112,2140,Solar,1/04/2001,Suspended,0,n/a
SRPVQL26,Freecor7MainPIA - Solar - QLD,QLD,0.013,4655,Solar,8/03/2016,Unsuspended,0,n/a
SRWDVC01,Citipower Energy Park,VIC,0.0132,3057,Solar,25/07/2003,Suspended,6,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
SRPVQL25,Freecor13GatewayTIN - Solar  - QLD,QLD,0.0135,4650,Solar,8/03/2016,Suspended,0,n/a
HYMCTA02,Platypus Micro Hydro - TAS,TAS,0.015,7140,Hydro,18/04/2011,Unsuspended,0,n/a
WD00VC22,Cookers Oil Wind - Vic,VIC,0.015,3030,Wind,1/12/2015,Unsuspended,0,n/a
WD00WA12,Bouverie Wind Turbine - WA,WA,0.015,6324,Wind,8/05/2010,Suspended,0,n/a
SRPVWA09,Chittering Valley Solar - WA,WA,0.018,6084,Solar,16/02/2012,Unsuspended,0,n/a
SRPVNS14,Kogarah Town Square PV,NSW,0.0184,2217,Solar,18/02/2004,Suspended,0,n/a
HYMIQL06,Paronella Micro Hydro - QLD,QLD,0.0185,4871,Hydro,19/04/2010,Unsuspended,0,n/a
SRPVWA05,Chadwell Estate Solar - WA,WA,0.0198,6322,Solar,16/03/2010,Unsuspended,0,n/a
WD00VC04,Moorooduc Wind Farm,VIC,0.02,3933,Wind,12/02/2004,Suspended,0,n/a
SRPVNS11,Pine Bluff Campus,NSW,0.021,2583,Solar,8/10/2002,Suspended,0,n/a
SRPVNT08,Power and Water Sadadeen Solar - NT,NT,0.0216,870,Solar,2/08/2011,Unsuspended,0,n/a
SRPVVC01,Fosterville Test Facility,VIC,0.024,3571,Solar,7/09/2001,Suspended,0,n/a
HYMCTA04,Deloraine Micro Hydro - TAS,TAS,0.03,7304,Hydro,20/07/2014,Unsuspended,0,n/a
SRPVQL23,Freecor Stanfast - Solar - QLD,QLD,0.03,4650,Solar,8/12/2015,Suspended,0,n/a
BEBGVC22,Blackwood Piggery PTY LTD - Biogas - VIC,VIC,0.04,3824,Biomass,27/02/2019,Unsuspended,0,n/a
BEBMTA01,Tahune Woodgas-WW-TAS,TAS,0.04,7116,Biomass,1/09/2006,Suspended,0,n/a
SRPVNS52,BUPA Bateau Bay 40kWp,NSW,0.04,2261,Solar,18/03/2016,Unsuspended,0,n/a
SRPVQL27,Freecor11GatewayTIN - Solar - QLD,QLD,0.04,4650,Solar,8/03/2016,Suspended,0,n/a
SRPVQL28,Freecor2BauhiniaKAW - Solar - QLD,QLD,0.04,4655,Solar,8/03/2016,Unsuspended,0,n/a
WD00NT01,Power and Water Lake Nash Wind Turbines - NT,NT,0.045,872,Wind,1/01/2013,Suspended,0,n/a
SRPVVC57,University of Melbourne Peter Hall Parkville Solar Vic,VIC,0.0478,3052,Solar,13/10/2017,Unsuspended,0,n/a
SRPVNS07,Western Plains Zoo Solar System,NSW,0.0499,2830,Solar,5/06/2001,Unsuspended,0,n/a
SRPVNS49,BUPA Sutherland 50kWp,NSW,0.05,2232,Solar,15/03/2016,Unsuspended,0,n/a
SRPVNS97,Milltech Hexham Solar - NSW,NSW,0.05,2322,Solar,20/02/2018,Unsuspended,0,n/a
SRPVVC33,BUPA Kyneton 50kWp,VIC,0.05,3444,Solar,18/03/2016,Unsuspended,0,n/a
SRPVNT36,Mt Liebig Solar Power Station - NT,NT,0.0501,872,Solar,21/03/2018,Unsuspended,0,n/a
SRPVVC58,University of Melbourne The Spot Carlton Solar Vic,VIC,0.0509,3053,Solar,19/10/2017,Unsuspended,0,n/a
SRPVQL29,BUPA Mount Sheridan 51kWp,QLD,0.051,4868,Solar,18/03/2016,Unsuspended,0,n/a
SRPVQL30,BUPA Runaway Bay 51kWp,QLD,0.051,4216,Solar,18/03/2016,Unsuspended,0,n/a
SRPVVC99,University of Melbourne Dental Clinic BLDG 348 Solar Vic,VIC,0.0531,3052,Solar,3/05/2018,Unsuspended,0,n/a
SRPVVC79,St Paul's Warragul Solar - VIC,VIC,0.0547,3820,Solar,13/03/2018,Unsuspended,0,n/a
HYMCQL02,Hinze Dam Hydro,QLD,0.055,4211,Hydro,7/06/2005,Unsuspended,0,n/a
SRPVNS13,Queanbeyan Solar Farm,NSW,0.0554,2620,Solar,25/01/2002,Suspended,0,n/a
SRPVWA38,AAC15-Solar - WA,WA,0.0557,6054,Solar,16/12/2016,Unsuspended,0,n/a
SRPVNT01,Bulman Solar,NT,0.0563,852,Solar,17/02/2003,Suspended,0,n/a
SRPVWA30,Aegis Aged Care - Sandstrom - Solar - WA,WA,0.0588,6050,Solar,8/09/2016,Unsuspended,0,n/a
SRPVNS20,Potts Hill Solar PV - NSW,NSW,0.06,2143,Solar,1/02/2013,Unsuspended,0,n/a
WD00WA03,Exmouth Advanced Mini Wind Farm,WA,0.06,6707,Wind,10/04/2002,Suspended,0,n/a
SRPVVC31,BUPA Echuca 61kWp,VIC,0.061,3564,Solar,18/03/2016,Unsuspended,0,n/a
BEBGNS29,Hunter Water Cessnock Cogeneration - Sewage Gas - NSW,NSW,0.065,2325,Biomass,21/07/2014,Unsuspended,0,n/a
HYMCNS05,Toonumbar Mini Hydro,NSW,0.065,2480,Hydro,6/02/2004,Suspended,0,n/a
SRPVWA34,Trinity College MPF Power Station WA,WA,0.0661,6004,Solar,12/10/2016,Unsuspended,0,n/a
SRPVVC97,University of Melbourne FBE BLDG 105 Solar Vic,VIC,0.0672,3053,Solar,3/05/2018,Unsuspended,0,n/a
BEBMVC03,Reid Bros WW Biomass Generator - VIC,VIC,0.068,3797,Biomass,30/01/2012,Suspended,0,n/a
SRPVVC98,University of Melbourne John Medley BLDG 191 Solar Vic,VIC,0.069,3052,Solar,3/05/2018,Unsuspended,0,n/a
SRPVNS01,Sydney Superdome Photovoltaic,NSW,0.07,2127,Solar,1/04/2001,Unsuspended,0,n/a
SRPVVC55,University of Melbourne McCoy Carlton Solar Vic,VIC,0.0733,3053,Solar,10/10/2017,Unsuspended,0,n/a
SRPVNS50,BUPA Bankstown 76kWp,NSW,0.076,2199,Solar,18/03/2016,Unsuspended,0,n/a
SRPVWA04,Carnarvon Solar Farm,WA,0.0764,6701,Solar,28/07/2005,Unsuspended,0,n/a
SRPVVCA1,University of Melbourne Kwong Lee Dow BLDG 263 Solar Vic,VIC,0.0804,3053,Solar,3/05/2018,Unsuspended,0,n/a
SRPVNS51,BUPA Ballina 81kWp,NSW,0.081,2478,Solar,18/03/2016,Unsuspended,0,n/a
SRPVNS29,Menai High School Solar - Illawong - NSW,NSW,0.085,2234,Solar,11/09/2014,Unsuspended,0,n/a
SRPVVC29,BUPA Portland 87kWp,VIC,0.087,3305,Solar,18/03/2016,Unsuspended,0,n/a
HYMCVC05,Cardinia Creek Mini-Hydro - VIC,VIC,0.09,3804,Hydro,12/02/2018,Unsuspended,0,n/a
SRPVVC53,University of Melbourne Archives Brunswick Solar Vic,VIC,0.0916,3056,Solar,10/10/2017,Unsuspended,0,n/a
SRPVNS18,Johnson & Johnson Medical North Ryde Solar - NSW,NSW,0.0924,2150,Solar,12/10/2011,Suspended,0,n/a
SRPVTA01,King Island Solar - TAS,TAS,0.094,7256,Solar,18/11/2008,Unsuspended,0,n/a
SRPVNSD7,UNSW - BioSc (E26) - Solar - NSW,NSW,0.095,2031,Solar,15/08/2018,Unsuspended,0,n/a
WD00VC05,Kings Creek Hotel Wind Turbine,VIC,0.095,3915,Wind,1/12/2005,Suspended,0,n/a
SRPVVC95,University of Melbourne Allan Gilbert BLDG 104 Solar Vic,VIC,0.0955,3053,Solar,3/05/2018,Unsuspended,0,n/a
SRPVQL16,Goonoo Feed Mill Solar - QLD,QLD,0.099,4702,Solar,1/08/2014,Unsuspended,0,n/a
SRPVWA28,Aegis Aged Care - Melville - Solar - WA,WA,0.0996,6156,Solar,2/08/2016,Unsuspended,0,n/a
SRPVNS39,Bupa Tamworth - Todae Solar PV - NSW,NSW,0.0997,2340,Solar,23/10/2015,Unsuspended,0,n/a
SRPVNS99,Hammondcare Southwood Solar - NSW,NSW,0.0997,2170,Solar,20/03/2018,Unsuspended,0,n/a
SRPVNT37,Barramundi Group - Solar - NT,NT,0.0998,820,Solar,10/05/2018,Unsuspended,0,n/a
SRPVVCA6,Olivet Aged Care Ringwood Solar System - VIC,VIC,0.0998,3134,Solar,18/05/2018,Unsuspended,0,n/a
SRPVWA55,Dobbie Dico -Solar -WA,WA,0.0998,6090,Solar,22/11/2017,Unsuspended,0,n/a
SRPVAC16,SA Hughes Solar ACT,ACT,0.0999,2605,Solar,16/03/2018,Unsuspended,0,n/a
HYMCVC08,Ythan Creek - Hydro - Vic,VIC,0.1,3799,Hydro,8/10/2018,Unsuspended,0,n/a
SRPVNS67,DHL6 Solar Horsley Park NSW,NSW,0.1,2175,Solar,9/02/2017,Unsuspended,0,n/a
SRPVQL19,Emmanuel College Administration - Solar - QLD,QLD,0.1,4211,Solar,21/07/2015,Unsuspended,0,n/a
SRPVSA03,Wilpena Pound,SA,0.1,5434,Solar,16/01/2003,Unsuspended,0,n/a
SRPVVC34,BUPA Wodonga 100kWp,VIC,0.1,3690,Solar,15/03/2016,Unsuspended,0,n/a
WD00VC16,Rocks Wind - VIC,VIC,0.1,3377,Wind,21/03/2013,Unsuspended,0,n/a
SRPVNT26,Kaltukatjara Solar Power Station - NT,NT,0.1002,872,Solar,1/02/2018,Unsuspended,0,n/a
SRPVNT28,Areyonga Solar Power Station - NT,NT,0.1002,872,Solar,1/02/2018,Unsuspended,0,n/a
SRPVNT07,Millner Primary School Solar - NT,NT,0.1008,810,Solar,17/03/2011,Unsuspended,0,n/a
SRPVWA35,AAC19- Solar - WA,WA,0.1018,6006,Solar,21/11/2016,Unsuspended,0,n/a
SRPVNSJ6,Tamworth Agricultural Institute Calala Solar - NSW,NSW,0.1019,2340,Solar,16/07/2019,Unsuspended,0,n/a
SRPVNT43,Milyakburra (Bickerton Island) Solar Power Station - NT,NT,0.1021,822,Solar,13/12/2018,Unsuspended,0,n/a
SRPVNT46,Minjilang (Croker Island) Solar Power Station - NT,NT,0.1021,822,Solar,11/12/2018,Unsuspended,0,n/a
SRPVNT47,Apatula (Finke) Solar Power Station - NT,NT,0.1021,872,Solar,12/12/2018,Unsuspended,0,n/a
SRPVNT49,Bulman Solar Power Station - NT,NT,0.1021,852,Solar,18/02/2019,Unsuspended,0,n/a
SRPXVC95,University Of Melbourne Creswick - Solar - VIC,VIC,0.1028,3363,Solar,26/08/2022,Unsuspended,0,
SRPVVCA0,University of Melbourne VCA Film & TV BLDG 861 Solar Vic,VIC,0.1068,3006,Solar,3/05/2018,Unsuspended,0,n/a
SRPVNS75,Parkes Shire Council WTP - Solar - NSW,NSW,0.1074,2870,Solar,21/09/2017,Unsuspended,0,n/a
SRPVQL75,BRC Millbank Solar - QLD,QLD,0.1084,4670,Solar,3/05/2018,Unsuspended,0,n/a
SRPVSA70,Crystal Brook Depot - Solar - SA,SA,0.1099,5523,Solar,14/09/2018,Unsuspended,0,n/a
HYMCNS01,Chichester Dam,NSW,0.11,2420,Hydro,3/04/2001,Unsuspended,0,n/a
HYMCVC04,Boronia Mini Hydro - VIC,VIC,0.11,3154,Hydro,12/02/2018,Unsuspended,0,n/a
SRPVVCG1,University of Melbourne WEBS Solar VIC,VIC,0.1102,3052,Solar,20/12/2018,Unsuspended,0,n/a
SRPVVCT4,GVW - Numurkah WTP - Numurkah - Solar - VIC,VIC,0.1104,3636,Solar,1/05/2020,Unsuspended,0,n/a
SRPVVCT5,GVW - Shepparton OC - Shepparton - Solar - VIC,VIC,0.1104,3630,Solar,1/05/2020,Unsuspended,0,n/a
SRPVNS35,UNSW Library - Solar - NSW,NSW,0.1142,2033,Solar,7/05/2015,Unsuspended,0,n/a
SRPVVC83,Greta Rd Wangaratta Solar - VIC,VIC,0.1145,3677,Solar,29/03/2018,Unsuspended,0,n/a
SRPVWA67,CBH Geraldton Port - Solar - WA,WA,0.115,6530,Solar,5/09/2018,Unsuspended,0,n/a
SRPVVCQ6,Westmont Aged Care Caravan Shed - Solar - VIC,VIC,0.1152,3691,Solar,23/12/2019,Unsuspended,0,n/a
SRPVVCV7,GVW - Broadford WMF - Solar - VIC,VIC,0.1152,3658,Solar,23/06/2020,Unsuspended,0,n/a
SRPVNT15,Desert Knowledge Australia Solar Centre - NT,NT,0.1161,870,Solar,12/08/2015,Unsuspended,0,n/a
SRPVWAB4,Beatty Park Leisure Centre - Solar w SGU - WA,WA,0.1161,6006,Solar,30/03/2020,Unsuspended,0,n/a
SRPVSAI7,City of Onkaparinga Field Operations Centre - Solar - SA,SA,0.1191,5169,Solar,16/06/2020,Unsuspended,0,n/a
SRPVVCW6,GVW - Fryers St Office - Solar - VIC,VIC,0.1192,3630,Solar,8/07/2020,Unsuspended,0,n/a
HYMCVC09,Lal Lal Mini Hydro Plant - VIC,VIC,0.12,3352,Hydro,30/11/2018,Unsuspended,0,n/a
SRPVVC32,BUPA Bendigo 120kWp,VIC,0.12,3550,Solar,18/03/2016,Unsuspended,0,n/a
SRPVQLP5,Domain Building M - Solar - QLD,QLD,0.1201,4814,Solar,26/10/2020,Unsuspended,0,n/a
SRPVWA56,CKB Airport Solar - WA,WA,0.1201,6430,Solar,24/11/2017,Unsuspended,0,n/a
SRPVNSL9,Woolworths Young - Solar - NSW,NSW,0.1208,2594,Solar,4/11/2019,Unsuspended,0,n/a
SRPVNSB2,Programmed Timbers - Solar - NSW,NSW,0.1219,2760,Solar,21/05/2018,Unsuspended,0,n/a
SRPVSA51,Taplin Corporation - Mitcham Shopping Centre - Solar - SA,SA,0.1224,5062,Solar,27/04/2018,Unsuspended,0,n/a
SRPVNSE7,Proten Solar NSW - Farm 92-2,NSW,0.1228,2340,Solar,13/09/2018,Unsuspended,0,n/a
SRPXVC93,University of Melbourne B887 Melbourne Theatre Company - Solar - VIC,VIC,0.1238,3006,Solar,2/08/2022,Unsuspended,0,
SRPVVC65,Todae Solar - Nillumbik - Solar - VIC,VIC,0.1245,3088,Solar,21/12/2017,Unsuspended,0,n/a
SRPVNSV4,Sydney Markets Warehouse Z - Solar - NSW,NSW,0.1246,2140,Solar,7/10/2020,Unsuspended,0,n/a
SRPVNSS0,B J Ball Solar PV NSW,NSW,0.1248,2145,Solar,17/06/2020,Unsuspended,0,n/a
SRPVWA52,MRL Sleat Rd Applecross Solar WA,WA,0.1248,6153,Solar,4/10/2017,Unsuspended,0,n/a
BEBGQL02,Mount St John,QLD,0.125,4810,Biomass,1/04/2001,Suspended,0,n/a
BEBGQL03,Cleveland Bay,QLD,0.125,4811,Biomass,1/04/2001,Suspended,0,n/a
SRPVSA09,Peter Lehmann Wines - Solar - SA,SA,0.125,5352,Solar,18/02/2015,Unsuspended,0,n/a
SRPVQLO5,Gold Coast Sports and Leisure Centre  - Carrara - Solar - QLD,QLD,0.1254,4211,Solar,7/08/2020,Unsuspended,0,n/a
SRPVNSG9,Ausgrid Dee Why (Cromer) - Solar NSW,NSW,0.1287,2099,Solar,20/02/2019,Unsuspended,0,n/a
SRPVVCA9,Corringle Furniture - Solar - VIC,VIC,0.1298,3134,Solar,21/05/2018,Unsuspended,0,n/a
SRPVVC96,University of Melbourne Medical Building 181 Solar Vic,VIC,0.1299,3052,Solar,3/05/2018,Unsuspended,0,n/a
BEBLNT01,Daly Waters Biodiesel,NT,0.13,852,Biomass,14/11/2005,Suspended,0,n/a
HYMCNS03,Dungog Mini Hydro,NSW,0.13,2420,Hydro,12/08/2002,Unsuspended,0,n/a
HYMCWA01,Pemberton Hydro,WA,0.13,6260,Hydro,12/09/2005,Suspended,0,n/a
SRPVNS73,SV - Mater Clinic - NSW,NSW,0.1302,2065,Solar,23/08/2017,Unsuspended,0,n/a
SRPVNS43,Murray Rose No5 - Solar - NSW,NSW,0.1305,2127,Solar,4/11/2015,Unsuspended,0,n/a
SRPVNS62,Campbells River Pump NSW Solar,NSW,0.131,2675,Solar,23/11/2016,Unsuspended,0,n/a
SRPVNS25,Olympic Plaza Solar - NSW,NSW,0.1313,2127,Solar,9/05/2014,Unsuspended,0,n/a
SRPVQLF6,CRSL Caboolture 0.132MW - Solar - QLD,QLD,0.1318,4510,Solar,18/07/2019,Unsuspended,0,n/a
SRPVQL62,Townsville Campus - Solar - QLD,QLD,0.1319,4810,Solar,22/12/2017,Unsuspended,0,n/a
HYMCVC07,Wantirna Mini Hydro - VIC,VIC,0.132,3152,Hydro,12/02/2018,Unsuspended,0,n/a
SRPVNSU0,Vesuvius Australia Pty Ltd - Solar - NSW,NSW,0.132,2505,Solar,7/07/2020,Unsuspended,0,n/a
SRPVQLK1,Opal Burpengary - Solar - QLD,QLD,0.132,4505,Solar,12/12/2019,Unsuspended,0,n/a
SRPXNS17,Ausgrid Beresfield - Solar - NSW,NSW,0.132,2322,Solar,21/05/2021,Unsuspended,0,n/a
SRPVVCI1,Melbourne Truss Sumerton Solar - VIC,VIC,0.1323,3062,Solar,27/03/2019,Unsuspended,0,n/a
SRPVVC17,Springvale Botanical Cemetery Solar - VIC,VIC,0.1336,3171,Solar,14/10/2014,Unsuspended,0,n/a
SRPVNSD8,Sandvik Heatherbrae Solar - NSW,NSW,0.1342,2324,Solar,14/08/2018,Unsuspended,0,n/a
SRPVSAA8,Trinity College Gawler River - Solar w SGU - SA,SA,0.1344,5117,Solar,6/03/2019,Unsuspended,0,n/a
SRPVTA04,Tasfresh Camdale - Solar - Tas,TAS,0.1355,7320,Solar,17/05/2018,Unsuspended,0,n/a
SRPVNS17,Rigby House Coffs Harbour Solar - NSW,NSW,0.1365,2450,Solar,12/09/2011,Unsuspended,0,n/a
SRPVSAK2,Life Care - Gaynes Park S2 - Solar [w SGU] -SA,SA,0.1366,5070,Solar,22/10/2020,Unsuspended,0,n/a
SRPVWA63,Sundance Scarborough Solar - WA,WA,0.1373,6019,Solar,9/07/2018,Unsuspended,0,n/a
SRPVSAC7,Tatiara Seeds Pty Ltd - Solar - SA,SA,0.1375,5268,Solar,20/06/2019,Unsuspended,0,n/a
SRPVVC40,Manor Lakes CLC Solar - VIC,VIC,0.1375,3024,Solar,14/12/2016,Unsuspended,0,n/a
SRPVWA15,CKB Oasis Recreation Centre Solar - WA,WA,0.1375,6432,Solar,16/01/2015,Unsuspended,0,n/a
SRPVQLG5,MARABOON TAVERN-SOLAR-QLD,QLD,0.138,4720,Solar,26/08/2019,Unsuspended,0,n/a
SRPVNSX2,Toronto Swim Centre - Solar - NSW,NSW,0.1387,5112,Solar,19/11/2020,Unsuspended,0,n/a
SRPVAC03,Gladstone Street Solar - ACT,ACT,0.1395,2609,Solar,22/08/2013,Unsuspended,0,n/a
SRPVWA25,Aegis Aged Care - Parkview - Solar - WA,WA,0.1399,6104,Solar,18/08/2016,Unsuspended,0,n/a
SRPVWA40,AAC24-Solar-WA,WA,0.1399,6210,Solar,21/12/2016,Unsuspended,0,n/a
SRPVQLO3,Albert park Motor Inn Solar Qld,QLD,0.14,4730,Solar,23/07/2020,Unsuspended,0,n/a
SRPVVC26,Ballarat Holden Solar - VIC,VIC,0.14,3355,Solar,23/12/2015,Unsuspended,0,n/a
SRPVWA33,Aegis Aged Care - Carrington - Solar - WA,WA,0.1402,6163,Solar,30/08/2016,Unsuspended,0,n/a
SRPVWA90,BG Waters 0.14MW - Solar WA,WA,0.1403,6172,Solar,15/07/2019,Unsuspended,0,n/a
SRPVNSD9,EG Berkeley 0.14MW Solar NSW,NSW,0.1405,2506,Solar,28/08/2018,Unsuspended,0,n/a
SRPVSAG9,Bunnings Victor Harbor - Solar - SA,SA,0.1407,5211,Solar,7/02/2020,Unsuspended,0,n/a
SRPVVCG7,Beaconhills Pakenham Year 9 Centre - Solar - Vic,VIC,0.141,3810,Solar,25/01/2019,Unsuspended,0,n/a
SRPVWA31,Aegis Aged Care - Shawford - Solar - WA,WA,0.1415,6018,Solar,31/08/2016,Unsuspended,0,n/a
SRPVWA93,ZEUSAPPOLLO SOLAR T & C Do - Solar w SGU - WA,WA,0.1416,6041,Solar,13/08/2019,Unsuspended,0,n/a
SRPVWA32,Aegis Aged Care - Ellenvale - Solar - WA,WA,0.1418,6280,Solar,8/09/2016,Unsuspended,0,n/a
BEBGTA01,Macquarie Point Waste Water Treatment Plant,TAS,0.142,7000,Biomass,25/07/2005,Unsuspended,0,n/a
SRPVQLP4,Domain Building G - Solar - QLD,QLD,0.1422,4814,Solar,26/10/2020,Unsuspended,0,n/a
SRPVWA39,AAC18 - Solar - WA,WA,0.1423,6060,Solar,16/12/2016,Unsuspended,0,n/a
SRPVWA26,Aegis Aged Care - Anchorage - Solar - WA,WA,0.1426,6030,Solar,1/08/2016,Unsuspended,0,n/a
SRPVSAK4,Eldercare Hendon Nursing Home - Solar - SA,SA,0.1428,5014,Solar,19/10/2020,Unsuspended,0,n/a
SRPVAC05,Symonston Solar - ACT,ACT,0.144,2609,Solar,18/02/2014,Unsuspended,0,n/a
SRPVQL24,Condabilla Fish Solar - QLD,QLD,0.144,4413,Solar,18/01/2016,Unsuspended,0,n/a
SRPVNS91,DHLS10 Horsley Park - Solar - NSW,NSW,0.1444,2175,Solar,16/01/2018,Unsuspended,0,n/a
SRPVQLF4,BUPA6 - Mt Sheridan - Solar - QLD,QLD,0.1452,4868,Solar,11/07/2019,Unsuspended,0,n/a
SRPVQLM6,WERNER-SOLAR w SGU-QLD,QLD,0.1456,4740,Solar,16/04/2020,Unsuspended,0,n/a
SRPXVC14,NEWater Wodonga RHQ - Solar w SGU - VIC,VIC,0.1456,3690,Solar,5/02/2021,Unsuspended,0,The installed capacity includes capacity that received small-scale technology certificates (STCs) under the Small-scale Renewable Energy Target (SRES). 
SRPVAC02,Kamberra Winery Solar - ACT,ACT,0.146,2602,Solar,12/06/2013,Unsuspended,0,n/a
SRPVVCM2,31 Beverage Drive - Solar w SGU - VIC,VIC,0.1466,3043,Solar,31/07/2019,Unsuspended,0,n/a
SRPVNSH1,Todae Solar - SRA Queanbeyan 0.15MW - Solar NSW,NSW,0.1468,2620,Solar,6/02/2019,Unsuspended,0,n/a
SRPVNSU3,Bunnings Grafton - Solar - NSW,NSW,0.147,2460,Solar,24/07/2020,Unsuspended,0,n/a
SRPVQL71,Hillsong Church Mt Gravatt Solar - QLD,QLD,0.1478,4122,Solar,29/03/2018,Unsuspended,0,n/a
SRPVVC70,Martin St Tatura VIC - Solar,VIC,0.148,3616,Solar,29/01/2018,Unsuspended,0,n/a
SRPVVCV2,GVW - Shepparton WTP - Solar - VIC,VIC,0.148,3630,Solar,9/06/2020,Unsuspended,0,n/a
SRPVQLJ9,Opal Carseldine- Solar - QLD,QLD,0.1488,4034,Solar,9/12/2019,Unsuspended,0,n/a
SRPVWA19,Leeuwin Estate Solar - WA,WA,0.149,6286,Solar,27/10/2015,Unsuspended,0,n/a
SRPVSAO4,RED CREST 1 - SOLAR W SGU - SA,SA,0.149,5254,Solar,1/09/2021,Unsuspended,0,The installed capacity includes capacity that received small-scale technology certificates (STCs) under the Small-scale Renewable Energy Target (SRES). 
SRPXVC84,Health Purchasing Seymour Hospital Solar - VIC,VIC,0.149,3660,Solar,10/06/2022,Unsuspended,0,
SRPVNSX7,BRIGHT PRINT - SOLAR w SGU - NSW,NSW,0.1491,2164,Solar,2/02/2021,Unsuspended,0,The installed capacity includes capacity that received small-scale technology certificates (STCs) under the Small-scale Renewable Energy Target (SRES). 
SRPVNSR4,"ISPT White Cross Rd, Winmalee - Solar - NSW",NSW,0.1492,2777,Solar,12/05/2020,Unsuspended,0,n/a
SRPXVC78,Diamond Valley Sports and Fitness Centre - Solar - VIC,VIC,0.1492,3088,Solar,27/01/2022,Unsuspended,0,
SRPVSAL9,Westminster School - Innovation Hub - Solar w SGU - SA,SA,0.1493,5043,Solar,26/03/2021,Unsuspended,0,The installed capacity includes capacity that received small-scale technology certificates (STCs) under the Small-scale Renewable Energy Target (SRES). 
SRPVVC49,Flavorite Marketing VIC - Solar,VIC,0.1494,3023,Solar,21/08/2017,Unsuspended,0,n/a
SRPVNSD5,Proten Solar NSW - Farm 92-1,NSW,0.1497,2340,Solar,24/07/2018,Unsuspended,0,n/a
SRPVVCK2,Yarram District Health Service - Solar - VIC,VIC,0.1497,3971,Solar,20/05/2019,Unsuspended,0,n/a
SRPVWA27,AAC03- Solar - WA,WA,0.1497,6069,Solar,14/09/2016,Unsuspended,0,n/a
SRPVSAB0,Moonta WWTP - Solar - SA,SA,0.1498,5558,Solar,6/03/2019,Unsuspended,0,n/a
